Date,Venue,City_Country,Tour,Set,Encores,Encores_Count,Set_Length,Other_Acts,URL
"December 9, 2018",Save Mart Center,"Fresno, California, United States",WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Ride the Lightning', 'Welcome Home (Sanitarium)', ""Now That We're Dead"", 'Creeping Death', 'For Whom the Bell Tolls', 'Fade to Black', 'Hit the Lights', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']","['Spit Out The Bone', 'Nothing Else Matters', 'Enter Sandman']",1.0,18.0,,https://www.metallica.com/events/event-36824.html
"December 7, 2018",Golden 1 Center,"Sacramento, California, United States",WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'The Shortest Straw', 'The Unforgiven', ""Now That We're Dead"", 'Confusion', 'For Whom the Bell Tolls', 'Welcome Home (Sanitarium)', 'Whiplash', 'Creeping Death', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']","['Battery', 'Nothing Else Matters', 'Enter Sandman']",1.0,18.0,,https://www.metallica.com/events/event-36823.html
"December 5, 2018",Moda Center,"Portland, Oregon, United States",WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Holier Than Thou', 'Welcome Home (Sanitarium)', ""Now That We're Dead"", 'Creeping Death', 'For Whom the Bell Tolls', 'Fade to Black', 'No Remorse', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']","['Spit Out The Bone', 'Nothing Else Matters', 'Enter Sandman']",1.0,18.0,,https://www.metallica.com/events/event-36822.html
"December 2, 2018",Spokane Arena,"Spokane, Washington, United States",WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Leper Messiah', 'The Unforgiven', ""Now That We're Dead"", 'Confusion', 'For Whom the Bell Tolls', 'The Day That Never Comes', 'Motorbreath', 'Creeping Death', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']","['Blackened', 'Nothing Else Matters', 'Enter Sandman']",1.0,18.0,,https://www.metallica.com/events/event-36821.html
"November 30, 2018",Vivint Smart Home Arena,"Salt Lake City, Utah, United States",WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Through the Never', 'Welcome Home (Sanitarium)', ""Now That We're Dead"", 'Creeping Death', 'For Whom the Bell Tolls', 'Halo On Fire', 'Whiplash', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']","['Fight Fire with Fire', 'Nothing Else Matters', 'Enter Sandman']",1.0,18.0,,https://www.metallica.com/events/event-36820.html
"November 28, 2018",Taco Bell Arena,"Boise, Idaho, United States",WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'The Memory Remains', 'The Unforgiven', ""Now That We're Dead"", 'Creeping Death', 'For Whom the Bell Tolls', 'Welcome Home (Sanitarium)', 'The Four Horsemen', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']","['Spit Out The Bone', 'Nothing Else Matters', 'Enter Sandman']",1.0,18.0,,https://www.metallica.com/events/event-36819.html
"November 26, 2018",T-Mobile Arena,"Las Vegas, Nevada, United States",WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Harvester of Sorrow', 'The Unforgiven', ""Now That We're Dead"", 'Creeping Death', 'For Whom the Bell Tolls', 'Fade to Black', 'Hit the Lights', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']","['Spit Out The Bone', 'Nothing Else Matters', 'Enter Sandman']",1.0,18.0,,https://www.metallica.com/events/event-36818.html
"November 3, 2018",The All Within My Hands Helping Hands Concert & Auction @ The Masonic,"San Francisco, California, United States",,"['Disposable Heroes', 'When a Blind Man Cries', 'The Unforgiven', ""Please Don't Judas Me"", 'Turn the Page', 'Bleeding Me', 'Veteran of the Psychic Wars', 'Nothing Else Matters', 'All Within My Hands', 'Enter Sandman', 'The Four Horsemen', 'Hardwired']",[],0.0,12.0,['Cage the Elephant'],https://www.metallica.com/events/2018-11-03-san-francisco-awmh-benefit.html
"October 29, 2018",Times Union Center,"Albany, New York, United States",WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Creeping Death', 'Welcome Home (Sanitarium)', ""Now That We're Dead"", 'Confusion', 'For Whom the Bell Tolls', 'Wherever I May Roam', 'Hit the Lights', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']","['Fight Fire with Fire', 'Nothing Else Matters', 'Enter Sandman']",1.0,18.0,,https://www.metallica.com/events/event-36817.html
"October 27, 2018",Keybank Center,"Buffalo, New York, United States",WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Leper Messiah', 'The Unforgiven', ""Now That We're Dead"", 'Wherever I May Roam', 'For Whom the Bell Tolls', 'Halo On Fire', 'The Four Horsemen', 'Creeping Death', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']","['Battery', 'Nothing Else Matters', 'Enter Sandman']",1.0,18.0,,https://www.metallica.com/events/event-36816.html
"October 25, 2018",Wells Fargo Center,"Philadelphia, Pennsylvania, United States",WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Harvester of Sorrow', 'The Day That Never Comes', ""Now That We're Dead"", 'Creeping Death', 'For Whom the Bell Tolls', 'Welcome Home (Sanitarium)', 'Phantom Lord', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']","['Spit Out The Bone', 'Nothing Else Matters', 'Enter Sandman']",1.0,18.0,,https://www.metallica.com/events/event-39651.html
"October 22, 2018",Spectrum Center,"Charlotte, North Carolina, United States",WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Through the Never', 'The Unforgiven', ""Now That We're Dead"", 'Wherever I May Roam', 'For Whom the Bell Tolls', 'Fade to Black', 'Motorbreath', 'Creeping Death', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']","['Spit Out The Bone', 'Nothing Else Matters', 'Enter Sandman']",1.0,18.0,,https://www.metallica.com/events/event-36815.html
"October 20, 2018",Bryce Jordan Center,"State College, Pennsylvania, United States",WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Holier Than Thou', 'Fade to Black', ""Now That We're Dead"", 'Creeping Death', 'For Whom the Bell Tolls', 'Halo On Fire', 'Hit the Lights', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']","['Blackened', 'Nothing Else Matters', 'Enter Sandman']",1.0,18.0,,https://www.metallica.com/events/event-36814.html
"October 18, 2018",Ppg Paints Arena,"Pittsburgh, Pennsylvania, United States",WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Wherever I May Roam', 'The Unforgiven', ""Now That We're Dead"", 'Creeping Death', 'For Whom the Bell Tolls', 'Welcome Home (Sanitarium)', 'Whiplash', 'The Memory Remains', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']","['Spit Out The Bone', 'Nothing Else Matters', 'Enter Sandman']",1.0,18.0,,https://www.metallica.com/events/event-36813.html
"October 16, 2018",Fiserv Forum,"Milwaukee, Wisconsin, United States",WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Harvester of Sorrow', 'The Unforgiven', ""Now That We're Dead"", 'Creeping Death', 'For Whom the Bell Tolls', 'Fade to Black', 'Motorbreath', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']","['Spit Out The Bone', 'Nothing Else Matters', 'Enter Sandman']",1.0,18.0,,https://www.metallica.com/events/event-36812.html
