Date,Venue,Festival,City_Country,Lat,Long,Tour,Set,Last_track_Set,Encores,Last_track_Encore,Encores_Count,Set_Length,Other_Acts,Has_Guitar_Solo,Has_Bass_Solo,Has_Drum_Solo,Has_Doodle,Has_Medley,Kill_'Em_All_Count,Ride_The_Lightning_Count,Master_Of_Puppets_Count,And_Justice_For_All_Count,Metallica_Count,Load_Count,Re_Load_Count,Garage_Inc_Count,St_Anger_Count,Death_Magnetic_Count,Hardwired_To_Self_Destruct_Count,hit the lights,the four horsemen,motorbreath,jump in the fire,(anesthesia) - pulling teeth,whiplash,phantom lord,no remorse,seek and destroy,metal militia,fight fire with fire,ride the lightning,for whom the bell tolls,fade to black,trapped under ice,escape,creeping death,the call of ktulu,battery,master of puppets,the thing that should not be,welcome home (sanitarium),disposable heroes,leper messiah,orion,"damage, inc.",blackened,...and justice for all,eye of the beholder,one,the shortest straw,harvester of sorrow,the frayed ends of sanity,to live is to die,dyers eve,enter sandman,sad but true,holier than thou,the unforgiven,wherever i may roam,don't tread on me,through the never,nothing else matters,of wolf and man,the god that failed,my friend of misery,the struggle within,ain't my bitch,2x4,the house jack built,until it sleeps,king nothing,hero of the day,bleeding me,cure,poor twisted me,wasting my hate,mama said,thorn within,ronnie,the outlaw torn,fuel,the memory remains,devil's dance,the unforgiven ii,better than you,slither,carpe diem baby,bad seed,where the wild things are,prince charming,low man's lyric,attitude,fixxxer,free speech for the dumb,it's electric,sabbra cadabra,turn the page,"die, die my darling",loverman,mercyful fate medley,astronomy,whiskey in the jar,tuesday's gone,the more i see,helpless,the small hours,the wait,crash course in brain surgery,last caress / green hell,am i evil?,blitzkrieg,breadfan,the prince,stone cold crazy,so what,killing time,overkill,damage case,stone dead forever,too late too late,frantic,st.anger,some kind of monster,dirty window,invisible kid,my world,shoot me again,sweet amber,the unnamed feeling,purify,all within my hands,that was just your life,the end of the line,"broken, beat & scarred",the day that never comes,all nightmare long,cyanide,the unforgiven iii,the judas kiss,suicide & redemption,my apocalypse,hardwired,"atlas, rise!",now that we're dead,moth into flame,dream no more,halo on fire,confusion,manunkind,here comes revenge,am i savage?,murder one,spit out the bone,URL
"December 9, 2018",Save Mart Center,,"Fresno, California, United States",36.7377981,-119.7871247,WorldWired,"['hardwired', 'atlas, rise!', 'seek and destroy', 'ride the lightning', 'welcome home (sanitarium)', ""now that we're dead"", 'creeping death', 'for whom the bell tolls', 'fade to black', 'hit the lights', 'fuel', 'moth into flame', 'sad but true', 'one', 'master of puppets']",master of puppets,"['spit out the bone', 'nothing else matters', 'enter sandman']",enter sandman,1.0,18.0,,False,False,False,False,False,1,4,2,1,1,0,1,0,0,0,4,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,https://www.metallica.com/events/event-36824.html
"December 7, 2018",Golden 1 Center,,"Sacramento, California, United States",38.5815719,-121.4943996,WorldWired,"['hardwired', 'atlas, rise!', 'seek and destroy', 'the shortest straw', 'the unforgiven', ""now that we're dead"", 'confusion', 'for whom the bell tolls', 'welcome home (sanitarium)', 'whiplash', 'creeping death', 'moth into flame', 'sad but true', 'one', 'master of puppets']",master of puppets,"['battery', 'nothing else matters', 'enter sandman']",enter sandman,1.0,18.0,,False,False,False,False,False,1,2,2,2,2,0,0,0,0,0,5,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,https://www.metallica.com/events/event-36823.html
"December 5, 2018",Moda Center,,"Portland, Oregon, United States",45.5122308,-122.6587185,WorldWired,"['hardwired', 'atlas, rise!', 'seek and destroy', 'holier than thou', 'welcome home (sanitarium)', ""now that we're dead"", 'creeping death', 'for whom the bell tolls', 'fade to black', 'no remorse', 'fuel', 'moth into flame', 'sad but true', 'one', 'master of puppets']",master of puppets,"['spit out the bone', 'nothing else matters', 'enter sandman']",enter sandman,1.0,18.0,,False,False,False,False,False,1,3,2,1,2,0,1,0,0,0,4,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,https://www.metallica.com/events/event-36822.html
"December 2, 2018",Spokane Arena,,"Spokane, Washington, United States",47.6587802,-117.4260465,WorldWired,"['hardwired', 'atlas, rise!', 'seek and destroy', 'leper messiah', 'the unforgiven', ""now that we're dead"", 'confusion', 'for whom the bell tolls', 'the day that never comes', 'motorbreath', 'creeping death', 'moth into flame', 'sad but true', 'one', 'master of puppets']",master of puppets,"['blackened', 'nothing else matters', 'enter sandman']",enter sandman,1.0,18.0,,False,False,False,False,False,1,2,2,1,2,0,0,0,0,1,5,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,https://www.metallica.com/events/event-36821.html
"November 30, 2018",Vivint Smart Home Arena,,"Salt Lake City, Utah, United States",40.7607793,-111.8910474,WorldWired,"['hardwired', 'atlas, rise!', 'seek and destroy', 'through the never', 'welcome home (sanitarium)', ""now that we're dead"", 'creeping death', 'for whom the bell tolls', 'halo on fire', 'whiplash', 'fuel', 'moth into flame', 'sad but true', 'one', 'master of puppets']",master of puppets,"['fight fire with fire', 'nothing else matters', 'enter sandman']",enter sandman,1.0,18.0,,False,False,False,False,False,1,2,2,1,2,0,1,0,0,0,5,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,https://www.metallica.com/events/event-36820.html
"November 28, 2018",Taco Bell Arena,,"Boise, Idaho, United States",43.6150186,-116.2023137,WorldWired,"['hardwired', 'atlas, rise!', 'seek and destroy', 'the memory remains', 'the unforgiven', ""now that we're dead"", 'creeping death', 'for whom the bell tolls', 'welcome home (sanitarium)', 'the four horsemen', 'fuel', 'moth into flame', 'sad but true', 'one', 'master of puppets']",master of puppets,"['spit out the bone', 'nothing else matters', 'enter sandman']",enter sandman,1.0,18.0,,False,False,False,False,False,1,2,2,1,2,0,2,0,0,0,4,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,https://www.metallica.com/events/event-36819.html
"November 26, 2018",T-Mobile Arena,,"Las Vegas, Nevada, United States",36.1699412,-115.1398296,WorldWired,"['hardwired', 'atlas, rise!', 'seek and destroy', 'harvester of sorrow', 'the unforgiven', ""now that we're dead"", 'creeping death', 'for whom the bell tolls', 'fade to black', 'hit the lights', 'fuel', 'moth into flame', 'sad but true', 'one', 'master of puppets']",master of puppets,"['spit out the bone', 'nothing else matters', 'enter sandman']",enter sandman,1.0,18.0,,False,False,False,False,False,1,3,1,2,2,0,1,0,0,0,4,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,https://www.metallica.com/events/event-36818.html
"November 3, 2018",The Masonic,The All Within My Hands Helping Hands Concert & Auction,"San Francisco, California, United States",37.7749295,-122.4194155,,"['disposable heroes', 'when a blind man cries', 'the unforgiven', ""please don't judas me"", 'turn the page', 'bleeding me', 'veteran of the psychic wars', 'nothing else matters', 'all within my hands', 'enter sandman', 'the four horsemen', 'hardwired']",hardwired,[],,0.0,12.0,['Cage the Elephant'],False,False,False,False,False,1,0,1,0,3,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,https://www.metallica.com/events/2018-11-03-san-francisco-awmh-benefit.html
"October 29, 2018",Times Union Center,,"Albany, New York, United States",42.6525793,-73.7562317,WorldWired,"['hardwired', 'atlas, rise!', 'seek and destroy', 'creeping death', 'welcome home (sanitarium)', ""now that we're dead"", 'confusion', 'for whom the bell tolls', 'wherever i may roam', 'hit the lights', 'fuel', 'moth into flame', 'sad but true', 'one', 'master of puppets']",master of puppets,"['fight fire with fire', 'nothing else matters', 'enter sandman']",enter sandman,1.0,18.0,,False,False,False,False,False,1,2,2,1,2,0,1,0,0,0,5,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,https://www.metallica.com/events/event-36817.html
"October 27, 2018",Keybank Center,,"Buffalo, New York, United States",42.88644679999999,-78.8783689,WorldWired,"['hardwired', 'atlas, rise!', 'seek and destroy', 'leper messiah', 'the unforgiven', ""now that we're dead"", 'wherever i may roam', 'for whom the bell tolls', 'halo on fire', 'the four horsemen', 'creeping death', 'moth into flame', 'sad but true', 'one', 'master of puppets']",master of puppets,"['battery', 'nothing else matters', 'enter sandman']",enter sandman,1.0,18.0,,False,False,False,False,False,1,2,2,1,3,0,0,0,0,0,5,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,https://www.metallica.com/events/event-36816.html
